id,source,title,job_type,size_tier,judge,conf,opening,cache_read,in,out
27173,arbeitnow,Product Manager - Device Data Management (Fluent French & English) — Kaluza,Product / PM,Large,Product / PM,high,True,600,426,29
23426,himalayas,"Manager, Partnerships and Proposals",Management / operations,Medium,Sales / outreach,medium,True,600,103,32
608,freelancer,Meta Business Verification + App Review Expert Needed,Development / tech,Large,Consulting / strategy,medium,True,600,381,33
17236,himalayas,"Business Development Executive(Contract, Remote)",Sales / outreach,Medium,Sales / outreach,high,True,600,72,31
19756,freelancer,FS Short Trial Video -- 2,Video / animation,Small,Video / animation,high,True,600,140,29
24179,himalayas,Lead Analyst Investment Reporting,Finance / accounting,Medium,Finance / accounting,medium,True,600,72,32
26234,himalayas,Technical Support Representative - EMEA,IT / support,Medium,Customer support,medium,True,600,85,29
25965,himalayas,"Account Executive (Enterprise - Brands/Retail), Corporate",Design / creative,Medium,Sales / outreach,high,True,600,101,31
4542,himalayas,Sales Specialist - Mid-Atlantic region,Sales / outreach,Medium,Sales / outreach,high,True,600,64,31
32832,himalayas,"Senior Engineer, Platform Services",Development / tech,Medium,Development / tech,high,True,600,68,29
5200,freelancer,Master's Research Consultant for Interpreting Studies,Consulting / strategy,Medium,Writing / content,medium,True,600,254,30
27235,arbeitnow,Energy Markets - France (CDD) — Axle Careers,Data / analytics,Large,Data / analytics,medium,True,600,400,31
585,himalayas,"Policy Associate, Wildfire",Consulting / strategy,Medium,Consulting / strategy,low,True,600,110,32
3257,freelancer,Live-Action Ads for Brand Awareness,Design / creative,Small,Video / animation,high,True,600,430,29
16538,himalayas,Remote Estimator-Unitized Curtain Wall,Architecture / 3D,Medium,Engineering,medium,True,600,72,58
15683,himalayas,"Revenue Operations Specialist (Toronto, Canada)",Management / operations,Medium,Management / operations,medium,True,600,138,30
18648,himalayas,India - Data Analyst,Data / analytics,Medium,Data / analytics,high,True,600,80,30
4694,freelancer,UI Redesign for careersrn.com — clean clinical job board (Figma + 2x PNG),Design / creative,Large,Design / creative,high,True,600,532,29
9507,himalayas,AI Response Labeler / Annotator – Japanese Specialty,Data / analytics,Medium,Data / analytics,medium,True,600,85,31
29699,himalayas,"Remote Telehealth Coordinator, Virtual Care Center (Saturdays Required)",Admin / VA,Medium,Healthcare / medical,medium,True,600,96,33
20475,himalayas,Customer Service Advisor - WAH XTRA 2026,Customer support,Medium,Customer support,high,True,600,119,28
823,himalayas,Technical Support Specialist (Night Shift),Customer support,Medium,Customer support,medium,True,600,57,29
12808,freelancer,Modern Freelance Services Website,Design / creative,Small,Development / tech,high,True,600,425,29
11435,himalayas,"Clinical Sales Specialist, Electrophysiology - LAAO (Minnesota)",Sales / outreach,Medium,Sales / outreach,high,True,600,79,31
1572,himalayas,Video Editor | Philippines,Video / animation,Large,Video / animation,high,True,600,126,29
11016,freelancer,Resolve Meta Advertising Access Restriction -- 2,Marketing / SEO,Medium,Marketing / SEO,high,True,600,429,32
151,himalayas,"Senior Manager, AI Deployment",Other / general,Medium,Management / operations,medium,True,600,81,30
3911,himalayas,"Connecticut Medicaid Clinical Pharmacist- Remote (Any city, VA, US, 99999)",Admin / VA,Medium,Healthcare / medical,high,True,600,92,32
21305,himalayas,Sales Director - Atlanta,Sales / outreach,Medium,Sales / outreach,high,True,600,65,31
7598,freelancer,Family Marketing Reel Edit,Marketing / SEO,Medium,Video / animation,high,True,600,341,29
25406,himalayas,2029 Sales & Relationship Academy - Greenwood Project Scholar Program,Sales / outreach,Medium,Other / general,medium,False,600,89,29
4532,himalayas,"Project Coordinator I, Phase I",Admin / VA,Large,Healthcare / medical,low,True,600,118,32
31541,himalayas,Senior Software Engineer in Test (SDET),Development / tech,Medium,QA / testing,high,True,600,86,29
22186,himalayas,Patient Support Specialist,Customer support,Medium,Healthcare / medical,medium,True,600,56,33
9691,arbeitnow,Senior Product Manager - Marine Insurance — Kpler,Product / PM,Large,Product / PM,high,True,600,410,29
7332,jobicy,Japanese - English PPC Freelancer (remote freelance) — Brafton,Marketing / SEO,Medium,Marketing / SEO,high,True,600,412,32
380,himalayas,Virtual Patient Access Coordinator,Admin / VA,Medium,Healthcare / medical,medium,True,600,85,33
3991,himalayas,Amazon Account Manager - PPC & Marketplace Growth (US/Remote),Marketing / SEO,Medium,Marketing / SEO,high,True,600,109,32
26342,himalayas,Media Coordinator (Local Hero),Admin / VA,Medium,Marketing / SEO,medium,True,600,78,33
1843,himalayas,(Senior) Go-to-Market Scaling Manager - Germany (m/f/d),Marketing / SEO,Medium,Management / operations,medium,True,600,95,30
19045,freelancer,Ongoing Airbnb Talent Sourcing,Sales / outreach,Large,HR / recruiting,high,True,600,394,31
25351,himalayas,Sales Team Manager - Full Remote,Sales / outreach,Large,Management / operations,medium,True,600,118,30
15885,arbeitnow,"Senior Product Manager, Search Infrastructure — Nebius",Product / PM,Medium,Product / PM,high,True,600,421,29
7889,freelancer,Ведение Telegram и Instagram,Design / creative,Small,Marketing / SEO,high,True,600,404,32
22920,freelancer,Engaging Promotional Video Editing,Video / animation,Small,Video / animation,high,True,600,424,29
21482,himalayas,Senior Software Engineer (Claude Code or Google Gemini),Development / tech,Medium,Development / tech,high,True,600,111,29
5805,arbeitnow,Senior Marketing Manager - Government Solutions (f/m/x) — LiveEO GmbH,Marketing / SEO,Large,Marketing / SEO,high,True,600,427,32
30947,arbeitnow,Staff Product Manager - Physical AI/Robotics — Coreweaveu,Product / PM,Large,Product / PM,high,True,600,454,29
33014,himalayas,Healthcare Communicator,Healthcare / medical,Medium,Healthcare / medical,medium,True,600,82,33
18953,himalayas,Mobility Behavioral Scientist (100 % remote) (m/f/d),Consulting / strategy,Medium,Other / general,low,True,600,87,28
24997,himalayas,Software Manager,Development / tech,Medium,Development / tech,medium,True,600,86,30
61,himalayas,Oracle EBS Developer,Development / tech,Medium,Development / tech,high,True,600,61,29
12071,himalayas,"Sr. Solutions Consultant, Education",Consulting / strategy,Medium,Consulting / strategy,low,True,600,87,32
23560,freelancer,Tax Form Preparation for MFS,Finance / accounting,Medium,Finance / accounting,high,True,600,224,31
31428,freelancer,Lifestyle Research Article Writer Needed,Writing / content,Small,Writing / content,high,True,600,417,29
21391,freelancer,Architectural Plans Revision,Design / creative,Medium,Architecture / 3D,high,True,600,394,32
15007,himalayas,Senior Electrical Engineer,Engineering,Medium,Engineering,high,True,600,100,28
23544,freelancer,Manual Text Entry from Prints,Writing / content,Small,Admin / VA,high,True,600,380,30
26989,freelancer,Refine Script & Record Greeting,Audio / music,Small,Audio / music,high,True,600,355,29
28775,himalayas,Senior Exercise Planner - Regional Exercise Lead,Management / operations,Medium,Consulting / strategy,low,True,600,100,32
23942,himalayas,Customer Operations Lead,Management / operations,Medium,Management / operations,medium,True,600,61,30
32763,arbeitnow,Analyst Early Stage Team — Hv,Sales / outreach,Large,Finance / accounting,medium,True,600,406,32
26273,himalayas,Hitss | Desenvolvedor .NET,Development / tech,Medium,Development / tech,high,True,600,88,29
18158,arbeitnow,Senior Technical Program Manager I — Axon,Product / PM,Large,Product / PM,medium,True,600,423,30
4774,freelancer,Bold Modern Menu Design,Design / creative,Medium,Design / creative,high,True,600,434,29
8809,himalayas,Cloud Engineer - Fully Remote | Upto $85/hr,Development / tech,Medium,Development / tech,medium,True,600,71,30
22888,freelancer,"Certification Session Assistant - Utrecht, Netherlands",Admin / VA,Medium,Admin / VA,high,True,600,324,30
30123,arbeitnow,Snr People Generalist - Freelance — Photoroom,Development / tech,Large,HR / recruiting,high,True,600,427,31
8440,himalayas,Talent Sourcer,HR / recruiting,Medium,HR / recruiting,high,True,600,67,31
5454,freelancer,Retro Book Trailer Creation,Video / animation,Medium,Video / animation,high,True,600,283,29
26163,himalayas,Independent End Point Assessor- Residential Childcare,Consulting / strategy,Medium,Teaching / tutoring,medium,True,600,150,72
20673,freelancer,Humanities Article Proofread & Polish,Writing / content,Medium,Writing / content,high,True,600,300,29
6199,freelancer,Modern Finance Logo Design,Design / creative,Medium,Design / creative,high,True,600,403,29
32322,himalayas,Product Quality Engineer,Development / tech,Medium,QA / testing,low,True,600,80,144
29115,himalayas,"Cybersecurity Solutions Architect/Engineer (Databricks, AI/ML)",Development / tech,Medium,Development / tech,medium,True,600,87,30
23118,freelancer,Festive Ethnic Wear Promo Articles,Writing / content,Small,Writing / content,high,True,600,454,29
19178,freelancer,Specialist for B2B LinkedIn Outreach & Lead Generation,Sales / outreach,Large,Sales / outreach,high,True,600,453,31
18707,himalayas,"Content Manager, SEO",Marketing / SEO,Medium,Marketing / SEO,medium,True,600,50,33
18059,freelancer,Name My AI Startup,Design / creative,Medium,Marketing / SEO,medium,True,600,426,33
25201,freelancer,Clean Social Media Video Edits -- 2,Video / animation,Medium,Video / animation,high,True,600,454,29
10965,himalayas,Lead Sales Representative,Sales / outreach,Medium,Sales / outreach,high,True,600,152,31
6172,freelancer,Lyrics-Style Instagram Reels Editing,Video / animation,Medium,Video / animation,high,True,600,429,29
1122,himalayas,Senior Product Manager (XDR) - Security Solutions,Product / PM,Medium,Product / PM,high,True,600,92,29
13531,freelancer,UK Lettings Phone Sales -- 2,Sales / outreach,Large,Sales / outreach,high,True,600,408,31
15290,freelancer,SEO Setup for Lead Generation,Marketing / SEO,Medium,Marketing / SEO,high,True,600,440,32
27277,freelancer,3D Animated Kids' YouTube Channel,Video / animation,Medium,Video / animation,high,True,600,296,29
23484,himalayas,Project Leadership - Mid/Large- (clinical trials) - Homebased - (future needs),Healthcare / medical,Medium,Management / operations,medium,False,600,70,30
16948,himalayas,Translator – Systems Architecture & Leadership Framework (English → Vietnamese),Translation / language,Medium,Translation / language,high,True,600,170,29
23154,freelancer,Craft Articles for Balasan Chat,Writing / content,Small,Writing / content,high,True,600,395,29
6050,freelancer,WordPress Website Update,Development / tech,Small,Development / tech,high,True,600,249,29
31879,himalayas,"2026 US OPEN, Video Content Publisher - REMOTE",Video / animation,Medium,Video / animation,high,True,600,73,29
655,himalayas,Freelance Independent Rater,Healthcare / medical,Medium,Healthcare / medical,high,True,600,128,32
7342,jobicy,Product Support Specialist - EMEA — Ashby,Customer support,Large,Customer support,high,True,600,437,28
32574,freelancer,Regional Google SEO for Plumber,Marketing / SEO,Large,Marketing / SEO,high,True,600,401,32
665,himalayas,Bilingual Remote Licensed Talk Therapist (English/Spanish) - Fee For Service,Healthcare / medical,Medium,Healthcare / medical,high,True,600,97,32
15159,freelancer,Mobile Cashback App Development,Design / creative,Medium,Development / tech,high,True,600,282,29
18012,himalayas,Quality Assurance Analyst (English speaking) - Full-time Permanent (remote in th,QA / testing,Large,QA / testing,high,True,600,121,29
5507,arbeitnow,Working Student Full-Stack Software Development (m/f/d) — Quantum-Systems GmbH,Development / tech,Medium,Development / tech,high,True,600,413,29
2980,himalayas,Streaming Data Engineer,Data / analytics,Medium,Data / analytics,medium,True,600,90,31
17254,freelancer,Composer DAG for Data Ingestion Pipeline,Data / analytics,Medium,Development / tech,medium,True,600,277,30
23905,himalayas,Senior Software Engineer (Product),Development / tech,Medium,Development / tech,high,True,600,82,29
6377,freelancer,Arts Education Grant Writer Needed,Writing / content,Large,Writing / content,high,True,600,387,29
26617,arbeitnow,Senior Integrated Marketing Strategy & Planning Manager — Deliveroo,Marketing / SEO,Large,Marketing / SEO,high,True,600,413,32
15486,freelancer,Efficient Excel Data Entry,Admin / VA,Small,Admin / VA,medium,True,600,322,31
908,himalayas,Social Media Content Evaluator (Malayalam),Marketing / SEO,Medium,Data / analytics,medium,True,600,75,31
10360,himalayas,Special Servicing Asset Manager,Sales / outreach,Medium,Finance / accounting,medium,True,600,154,32
23716,himalayas,"Senior Product Manager, Nielsen ONE Reporting",Product / PM,Medium,Product / PM,high,True,600,115,29
21076,himalayas,OIPA Configuration Sr. Analyst,Sales / outreach,Medium,Development / tech,medium,True,600,84,87
6013,freelancer,Coffee Shop Kiosk Proposal,Design / creative,Small,Design / creative,medium,True,600,432,30
12122,freelancer,Enchanting Children’s Fantasy Story,Design / creative,Medium,Writing / content,high,True,600,433,29
30248,jobicy,"Junior Web Builder (Fully Remote, PH-Based Only, Fresh Grads Welcome to Apply) — Luxury Presence",Design / creative,Medium,Development / tech,high,True,600,445,29
9326,freelancer,Senior UI/UX Designer Required for Student Accommodation Marketplace – Figma,Design / creative,Medium,Design / creative,high,True,600,384,29
12208,himalayas,Senior Full-Stack Solutions Architect,Development / tech,Medium,Development / tech,high,True,600,97,29
32099,himalayas,"Senior Architect, Anthropic Enablement",Architecture / 3D,Medium,Development / tech,medium,True,600,89,71
21233,freelancer,U.S. Women's Denim Sales Representative Needed,Sales / outreach,Large,Sales / outreach,high,True,600,415,31
15067,freelancer,Modern Monochrome Car Logo,Design / creative,Small,Design / creative,high,True,600,329,29
24601,himalayas,Care Coordinator,Admin / VA,Medium,Healthcare / medical,medium,True,600,65,33
15929,freelancer,Concert PNG image to EPS and PDF formats,Design / creative,Small,Design / creative,high,True,600,120,29
15268,freelancer,"Online Part-time Litigation, Bankruptcy and Media News Checking Needed Researcher in China",Legal,Small,Legal,medium,True,600,449,26
1258,himalayas,Project Manager- Retail Banking Refurbish Program,Product / PM,Medium,Product / PM,medium,True,600,101,30
8807,freelancer,Real Estate Description Specialist,Photography,Small,Writing / content,high,True,600,217,29
9422,freelancer,Tech YouTube Video Editing,Video / animation,Medium,Video / animation,high,True,600,444,29
31523,himalayas,Product Manager – Real Estate,Product / PM,Medium,Product / PM,high,True,600,65,29
19181,freelancer,Health & Wellness Article Writer,Writing / content,Medium,Writing / content,high,True,600,374,29
32435,himalayas,ROI Medical Records Specialist - Remote,Healthcare / medical,Medium,Healthcare / medical,medium,True,600,107,33
18013,freelancer,10-Person Team Needed to Playtest a Windows Game on Steam,QA / testing,Small,QA / testing,high,True,600,410,29
6190,freelancer,SEO-Focused Quora & Reddit Content,Marketing / SEO,Medium,Marketing / SEO,high,True,600,422,32
15281,himalayas,Transcriptionists (Independent Contractor) - Textile,Writing / content,Medium,Admin / VA,medium,True,600,97,31
21596,freelancer,Korean QSR Menu & Posters,Design / creative,Medium,Design / creative,high,True,600,412,29
9397,himalayas,Event Operations Coordinator,Admin / VA,Large,Management / operations,medium,True,600,80,30
28914,freelancer,LEOZIN | 6amMart Hybrid B2B + B2C Core Logic Customization -- 2,Development / tech,Medium,Development / tech,high,True,600,500,29
26182,freelancer,AI Website Chatbot Development,Design / creative,Small,Development / tech,high,True,600,402,29
22630,freelancer,Linux Software Engineer for ICV Development,Development / tech,Large,Development / tech,high,True,600,406,29
7193,freelancer,AI-Based Football Video Analytics – Research Project,Data / analytics,Medium,Development / tech,high,True,600,455,29
28698,himalayas,Intern - Product Strategy,Consulting / strategy,Medium,Product / PM,medium,True,600,74,30
25269,arbeitnow,Working Student Customer Success (all genders) — Envelio,Customer support,Large,Customer support,medium,True,600,392,29
25786,jobicy,Field Sales Consultant (self-employed) - Sofia — SumUp,Sales / outreach,Medium,Sales / outreach,high,True,600,508,31
19530,himalayas,Customer Service Representative (Payment Support),Customer support,Large,Customer support,high,True,600,133,28
30876,freelancer,Fixed-Pitch Propeller Test Report,Development / tech,Medium,Engineering,high,True,600,405,28
5629,jobicy,Senior Sales Engineer — Rithum,Development / tech,Large,Sales / outreach,medium,True,600,416,32
1012,himalayas,Middle Frontend Engineer,Development / tech,Medium,Development / tech,high,True,600,124,29
24250,himalayas,"Database Architect — Oracle & PostgreSQL, Cloud Migration",Architecture / 3D,Medium,Development / tech,medium,True,600,64,30
10895,soundlister,Sr. Foundational Audio AI Researcher — Dolby,Audio / music,Medium,Development / tech,medium,True,600,51,77
12840,freelancer,Recover Deleted iPhone Media,Development / tech,Medium,IT / support,high,True,600,433,28
18747,freelancer,eBay Listings Creation & Compatibility Charts,Photography,Medium,Writing / content,medium,True,600,382,30
13189,himalayas,Content Developer - Education (Legal/Regulatory),Development / tech,Medium,Writing / content,medium,True,600,98,30
21126,himalayas,Financial ERP Oracle Functional Solutions Architect,Development / tech,Medium,Development / tech,medium,True,600,104,96
21762,freelancer,Conduct SME Discovery Interviews,Consulting / strategy,Small,Consulting / strategy,medium,True,600,399,33
2607,himalayas,Data Migration Specialist,IT / support,Medium,Data / analytics,medium,True,600,55,31
15848,jobicy,"Sales Development Representative, Outbound — Tremendous",Sales / outreach,Large,Sales / outreach,high,True,600,431,31
19657,himalayas,BDR - (US),Sales / outreach,Medium,Sales / outreach,high,True,600,53,31
18063,entcareers,Seasonal Shuttle Coordinator - Insomniac,Admin / VA,Medium,Management / operations,medium,True,600,97,30
7999,freelancer,Six-Month SEO Ranking Boost,Marketing / SEO,Large,Marketing / SEO,high,True,600,426,32
19262,freelancer,British Accent Phone Greeting,Audio / music,Medium,Audio / music,high,True,600,329,29
1514,himalayas,Senior QA Automation Engineer - AWS & Salesforce (Poland),Development / tech,Medium,QA / testing,high,True,600,97,29
11648,himalayas,"Candidate Experience Specialist, Contractor",HR / recruiting,Medium,HR / recruiting,high,True,600,60,31
5462,freelancer,Remote Residential Construction Scheduler,Admin / VA,Small,Management / operations,medium,True,600,396,30
33086,freelancer,Beginner Fitness Reels Scriptwriter,Video / animation,Small,Writing / content,high,True,600,439,29
929,himalayas,"Manager, Product Management - Control Electronics",Product / PM,Medium,Product / PM,high,True,600,57,29
19219,himalayas,.NET Optimizely CMS Developer,Development / tech,Medium,Development / tech,high,True,600,56,29
11423,freelancer,Instagram 15-Second Video Edit,Video / animation,Small,Video / animation,high,True,600,430,29
23116,freelancer,ReCAPTCHA v2 Website Integration,Development / tech,Medium,Development / tech,high,True,600,346,29
11970,himalayas,"Senior Fullstack Software Engineer (Remote, Global) - Min. $70k&#",Development / tech,Medium,Development / tech,high,True,600,101,29
28266,himalayas,Capital Projects Quotations Coordinator,Admin / VA,Medium,Admin / VA,low,True,600,70,30
